campaign,coin_number,short_id,spot_type,spot_description,confidence,review_basis
SG60,23,YZ6V4d774q4,pipe_wall_corner_gap,"In the corner gap between white pipes and the wall, at floor level.",high,end6 contact sheet
SG60,24,5gP7ThHOVPw,playground_slide_lip,"Under the lip of a red playground slide outlet, above the blue support and rubber floor.",high,full12 plus end6 contact sheets
SG60,25,TWSu6he3XfM,panel_edge_gap,"Behind the edge of a black glossy wall panel, inside the narrow vertical gap.",medium,end12_24 plus end6 contact sheets
SG60,26,hKT5xdvHNkU,drain_kerb_crack,"In the crack beside the drain grate and concrete kerb, under low groundcover.",high,end6 contact sheet
SG60,27,rZBvJHQ80VY,planter_edge_under_plants,"On soil under plants, behind the low concrete planter edge.",high,end6 contact sheet
SG60,28,9HKjYglJrVE,block_grass_gap,"In between concrete blocks, under dry leaves on grass and soil.",high,end6 contact sheet
SG60,29,zXYI0NbT_GE,drain_grate_curb_gap,"In between the concrete curb and metal drain grate, under dry leaves.",high,end6 contact sheet
SG60,30,VEmn9_oVoJ4,bollard_opening,"Inside the round concrete bollard opening, behind the metal bracket and above the black rubber ring.",high,end6 contact sheet
SG60,31,Skk3ipOhCB0,drain_channel_fence_side,"Inside the concrete drain channel beside the chain-link fence, under branches.",high,end6 contact sheet
SG60,32,iCQ3IUtwnNQ,railing_planter_gap,"Under the white railing, on top of the pebble-wash planter wall, among leaf litter and branches.",high,end6 contact sheet
SG60,33,FHcluSmFLE8,wall_leaf_litter_corner,"In the corner gap beside a concrete wall, under dry leaves.",high,end6 contact sheet
SG60,34,Se81VqANxCQ,chair_support_opening,"Under the blue plastic chair, inside the black rectangular support opening.",high,end6 contact sheet
SG60,35,3E_SjB-hOQ0,utility_cover_frame_gap,"In the crack between the blue metal frame of a utility cover and the concrete slab, beside grass.",high,full12 plus end6 contact sheets
SG60,38,HJRsAnnvpvk,granite_opening,"Inside the square opening under a granite bench or table, among grass.",high,end6 contact sheet
SG60,39,po1Sz0el_U0,wall_opening,"Inside a rectangular wall opening at floor level, below the white wall.",high,end6 contact sheet
SG60,40,dyjqdnWw4uk,tree_root_crevice,"In the tree root crevice, on soil and grass at the trunk base.",high,end6 contact sheet
SG60,41,hmG3HcfDQTA,planter_gap_behind_railing,"In the narrow planter gap behind metal railing bars, on soil among small plants.",high,end12_24 plus end6 contact sheets
SG60,42,RqFOilogaNg,metal_fin_gap,"In between large brown metal fins or panels, beside the planter.",high,end6 contact sheet
SG60,43,fzuemJtC4SI,low_wall_slot,"Inside the long narrow gap of a low concrete wall, above the planter plants and dry leaves.",high,full24 plus end6 contact sheets
SG60,44,AzzGZW7tOPk,deck_planter_opening,"In the planter opening between wooden deck planks and concrete curb, under dry leaves.",high,end6 contact sheet
SG60,45,gY77SqNGRGM,railing_base_root_gap,"In between a black metal support and concrete curb, among grass and roots.",high,end12_24 plus end6 contact sheets
SG60,46,T1DVVJGYw_o,drain_block_hole,"Inside the hole under a concrete drain block, in mud beside plants.",high,end6 contact sheet
SG60,47,apwXPwf_tX4,metal_channel_leaf_litter,"Inside the narrow metal channel beside the concrete ledge, under dry leaves.",high,end6 contact sheet
SG60,48,kPEKADx6oNA,kerb_corner_leaf_litter,"In the corner gap beside a concrete kerb, under wet leaves.",high,end6 contact sheet
SG60,49,MBjsYGRHUAM,tile_seam,"In the seam between stone tiles, beside soil and a small plant.",high,end6 contact sheet
SG60,50,bxE6QVIzRUw,utility_cover_corner_crack,"In the crack beside the utility cover frame and concrete surround, under dry leaves.",high,end6 contact sheet
SG60,51,_3WDmj8bNLA,tall_grass_soil,"Under tall grass, on soil beside the path edge.",high,end6 contact sheet
SG60,52,UHzKHHWs0no,wall_corner_leaf_litter,"In the corner gap between concrete walls, under wet leaves beside a rock.",high,end6 contact sheet
SG60,53,QZMtRDlLVnc,pole_cutout_planter_gap,"In the planter cutout around a black metal pole, under leaves beside the tiled walkway.",high,full24 plus end6 contact sheets
SG60,54,InhMby7RpAQ,playground_tunnel_lip,"Under the lip of a yellow playground tunnel or slide panel, beside the metal seam.",high,end6 contact sheet
SG60,55,gruSMZ4P9dc,curb_grass_edge,"In between the concrete walkway edge and grass, on soil beside the path.",high,end6 contact sheet
SG60,56,RvknUrA0wHQ,wall_base_planter,"Beside a curved white wall base, on soil under small plants.",high,end6 contact sheet
SG60,57,ifRDU9Jqm2E,utility_base_opening,"Inside the black utility base opening, on grass beside the brick walkway.",high,end6 contact sheet
SG60,58,mUgBlwJKCd8,rocky_edge_gap,"In between rocks and gravel, beside the concrete curb edge.",high,end6 contact sheet
SG60,59,L5JftrVLh6c,metal_fin_gap,"Inside the narrow gap between grey metal fins, on dry leaves and debris.",high,end12_24 plus end6 contact sheets
SG60,60,5si_Lux3Dn8,curb_crack,"In the crack between concrete kerb slabs, on soil and grass.",high,end6 contact sheet
SG60,61,zyl-Q91ZpiM,bench_underseat_grass,"Under a wooden bench, in the grass strip below the seat edge.",medium,end6 contact sheet
SG60,62,HTFtt3mQKxg,curb_seam_leaf_litter,"In between the mossy concrete curb and stone edge, under wet leaves.",high,end6 contact sheet
SG60,63,gS5cImefyyQ,leaf_litter_soil,"Under dry leaves, on soil among small rocks.",high,end6 contact sheet
SG60,64,Q9vR1ZYLvRU,paver_hole,Inside the round hole of a square paver or stepping stone.,high,end6 contact sheet
SG60,65,mRVj09QozOM,paver_crack,"In the crack between concrete pavers, on grass and soil.",high,end12_24 plus end6 contact sheets
SG60,66,UlkX0gqr3sM,concrete_block_gap,"In between concrete blocks, on soil and dry leaves.",high,end6 contact sheet
SG60,67,QZco4ririmE,stone_base_grass_gap,"In the gap at the base of a red stone seat or wall, beside grass.",high,end6 contact sheet
SG60,68,zF2aZNjevXM,playground_panel_bolt,Under the seam bolt of an orange playground tunnel panel.,high,end12_24 plus end6 contact sheets
SG60,69,lfaXx_2zsT0,curb_grass_gap,In the grass gap beside a concrete kerb block.,high,end6 contact sheet
SG60,70,qPKss6b2w8I,step_seam,"In the narrow seam under a concrete step or ledge, on gravel.",high,end6 contact sheet
SG60,71,-udvHINeWdM,signboard_leaf_litter,"Under dry leaves, beside the black signboard panel and hedge.",medium,end12_24 plus end6 contact sheets
SG60,72,8x8JBL9cddE,brick_mulch_seam,"In between the red brick border and planting bed, under roots and mulch.",high,end6 contact sheet
SG60,73,TQNPMjgjVCM,paver_planter_gap,"In the planter gap beside brick pavers, under rocks and dry leaves.",high,end6 contact sheet
SG60,74,EEZVOYZhNuU,perforated_panel_floor_gap,"Behind a perforated metal panel, on the concrete floor seam at the base.",high,end12_24 plus end6 contact sheets
SG60,76,-sVFN7VRj9g,curb_hedge_leaf_litter,"In between the concrete kerb and hedge border, under dry leaves.",high,end6 contact sheet
SG60,77,m7Wq5ONDuW0,stone_kerb_gap,"In between rocks and the concrete kerb, under dry leaves.",high,end6 contact sheet
SG60,78,Jg3NqxnQ2JA,fence_base_gravel_strip,"In the gravel strip behind a slanted metal gate or fence panel, beside concrete pavers.",high,end12_24 plus end6 contact sheets
SG60,79,IW53sWHmtSo,stone_kerb_edge,"In between the stone kerb and pebbles, beside the path edge.",high,end6 contact sheet
SG60,80,xPpiC7BFbJg,tree_base_leaf_litter,"Under dry leaves at the base of a clump of slim tree trunks, on soil.",medium,end12_24 plus end6 contact sheets
SG60,81,anulzMTh02o,grass_grid_paver_gap,"Under the edge of a grass grid paver, on soil below the concrete cell.",high,full48 plus end12_24 contact sheets
SG60,82,FqaMm7wFq70,stone_panel_gap,"Inside the gap between a stone ledge and dark panel, among grass and rubble.",high,end6 contact sheet
SG60,83,O9HOmbFcpQo,drainage_slot,"Inside the narrow drainage slot beside the concrete curb, next to the metal cover.",high,end12_24 plus end6 contact sheets
SG60,84,95RK_SGccxM,curb_leaf_litter,Under dry leaves at the concrete curb edge beside the path.,high,end12_24 plus end6 contact sheets
SG60,85,xpCdS0R65No,perforated_ramp_gap,"Under a perforated metal ramp or stair panel, beside the beam seam.",high,end12_24 plus end6 contact sheets
SG60,86,QbMa1cv9aT4,planter_shrub_gap,"Inside the planter gap beside shrub stems, on leaf litter and debris.",high,end6 contact sheet
SG60,87,lFIY3_s1I7g,grass_edge_crack,In the grass-lined crack beside a concrete edge.,high,end6 contact sheet
SG60,89,5w9mMW27g3I,grass_patch_hole,"Inside a small hole in the grass, on bare soil.",high,end6 contact sheet
SG60,90,UpffYlUADG8,grass_slope_patch,"On the grass slope, beside a fallen branch.",low,end12_24 plus end6 contact sheets
SG60,91,_7Cibeu-TVM,bench_armrest_gap,"Inside the metal bench armrest or side support gap, beside the bag.",high,end6 contact sheet
SG60,93,zzDhnBAcUQY,brick_border_gap,"In between the red brick border and the hedge-side stone edge, under leaves.",high,end12_24 plus end6 contact sheets
SG60,94,NrA7S7yS_0s,bench_underside_gap,"Under the wooden bench seat, behind the front support bar.",high,end6 contact sheet
SG60,95,2e8gj9imhaE,bench_armrest_gap,Inside the metal bench armrest or side support gap.,high,end12_24 plus end6 contact sheets
SG60,96,Tey6RdMfh-g,planter_branch_gap,"Inside the planter bed, under twigs beside the edging strip.",high,end6 contact sheet
SG60,97,qw1D8pd9yzs,drain_grate_kerb_edge,"Beside the linear drain grate, under the concrete kerb edge.",medium,end12_24 plus end6 contact sheets
SG60,98,57Og8d3ueTU,ledge_grass_gap,"In between the concrete ledge and grass, on soil and small rocks.",high,end6 contact sheet
SG60,99,SF4VsRiVwUw,grass_hole,"Inside a small hole in the grass, on bare soil.",high,end6 contact sheet
SG60,100,BxIQngkx9bU,retaining_wall_hole,"Inside a hole under the concrete retaining wall edge, among weeds.",high,end6 contact sheet
SG60,101,XZ65bYSGYB0,lamp_post_footing_gap,"Under the concrete footing of a lamp post or pole base, inside the groundcover.",high,end12_24 plus full12 contact sheets
SG60,102,fMdnTSY5hGs,rock_gap_leaf_litter,"In between rocks, under dry leaves beside the concrete edge.",high,end6 contact sheet
SG60,103,cZDZxEcD06I,bench_slat_gap,"In between the wooden bench slats, above the support frame.",high,end6 contact sheet
SG60,104,m4khvdUbrNk,paver_edge_leaf_litter,"Under the edge of a concrete paver, among dry leaves and roots.",high,end6 contact sheet
SG60,105,jlQEoSxeFxc,concrete_crack,In a narrow concrete crack on the pavement.,high,end6 contact sheet
SG60,106,ebO7jsKGJ90,hedge_groundcover,"Under hedge groundcover leaves, on soil at the planter edge.",high,end6 contact sheet
Singapore,1,oU5vGUmo_iU,utility_cover_edge,"In the crack beside a round concrete manhole or utility cover, beside grass.",high,end6 contact sheet
Singapore,2,QYwr0mSeQR0,pipe_gap,"Behind a large white pipe, in between the pipe and concrete slab or wall.",high,full1 plus end10 contact sheets
Singapore,3,ZuYCJtKepmg,rock_base,"Beside a small concrete or rock block, on top of soil and under grass cover.",medium,end6 contact sheet
Singapore,4,LidgzIgiquE,stair_railing_corner,"In between the stair edge and metal railing base, on the concrete landing.",high,end6 contact sheet
Singapore,5,b4JIem7lUn8,planter_leaf_litter,"Under leaves, beside concrete, at the edge of a planter bed.",medium,end6 contact sheet
Singapore,6,R90RupEizx8,column_base_gap,"Beside a brick pillar, at floor level, in the concrete gap at the base.",high,full05 plus end6 contact sheets
Singapore,7,K7x9hL4Xj74,hollow_fixture,"Inside a hollow white fixture or cap, below the rim.",high,full05 plus end6 contact sheets
Singapore,8,1CTFltr5Rds,pipe_base_edge,"Beside a grey pipe or utility base, on the pebble concrete floor, against the wall.",high,end6 contact sheet
Singapore,9,CPsya-A3quk,brick_border_gap,"In between red bricks, along the brick border beside the walkway.",high,end6 contact sheet
Singapore,10,Wsp6XLmR8Co,planter_corner_gap,"In the planter corner, between concrete edges, under leaves and beside groundcover.",high,end6 contact sheet
Singapore,11,2BV4KbtVa5Y,foliage_wall_base,"Under foliage, beside a low brick wall, on soil at the wall base.",medium,end6 contact sheet
Singapore,12,H3dOYRce8CE,ledge_shrub_edge,"Under a low concrete ledge, beside shrubs and leaves.",medium,full05 plus end6 contact sheets
Singapore,13,EeEDdDbaZCU,bench_underside,"Under a green bench, below the seat panel.",high,user correction plus end6 contact sheet
Singapore,14,GF40nA3H9Is,grass_block_edge,"Beside a narrow concrete block, below grass level, near a drain edge.",medium,end6 contact sheet
Singapore,15,--oON0QUFi0,underside_beam_gap,"Under a low concrete bench or beam, inside the underside gap.",medium,end6 contact sheet
Singapore,16,Ab7Grf8Ws1Q,planter_wall_seam,"In between the planter wall and wooden planks, inside the floor seam.",high,end6 contact sheet
Singapore,17,6SGVBTrmMik,pipe_post_base,"Beside a black pipe or post, at the base on concrete.",medium,end6 contact sheet
Singapore,18,Lk8MaFk1n5M,bench_leaf_litter,"Under and behind a bench, inside the fern bed, covered by leaves and plants.",high,full1 plus end10 plus end6 contact sheets
Singapore,19,-x_nds_9rrA,pipe_base_gap,"Beside or behind a black cylindrical post, at the base on the void-deck floor.",low,end6 contact sheet
Singapore,20,V9ekSc2FE08,drainpipe_elbow,"Behind and below a white drainpipe elbow, beside a pillar on concrete.",high,end6 contact sheet
Singapore,21,CbrQ15hE164,panel_support_corner,"In the corner beside a perforated metal panel support, between the support and concrete floor.",high,end6 contact sheet
Singapore,22,gBCcOZ5-zCM,brick_grass_seam,"Beside the brick wall edging, on the grass slope, in a soil patch.",medium,end6 contact sheet
Singapore,23,8PbCjYtw3Fw,signboard_base,"Beside the signboard base, on grass at the bottom edge.",high,end6 contact sheet
Singapore,24,gYp4-yeVS2w,bench_underside,"Under a blue bench, below the seat panel.",high,user correction plus end6 contact sheet
Singapore,25,OpU06YLA55A,drain_grass_edge,"Beside a drain grate, on soil at the grass edge, under small leaves.",high,end6 contact sheet
Singapore,26,ZwwcIszrb_8,bench_underside,"Under a black bench, below the seat panel, beside grass.",high,full1 plus end6 contact sheets
Singapore,27,STosuIpHXps,bench_support_gap,"Behind a metal bench support, in between the bench and wall, on concrete.",high,full1 plus end6 contact sheets
Singapore,28,sT7fDNfaIfI,planter_wall_opening,"Inside a narrow opening in a concrete planter wall, beside soil and plant leaves.",high,full1 plus end6 contact sheets
Singapore,29,HLXnWdx24eY,fence_curb_leaf_litter,"Under wet leaves, beside a green fence, on the curb edge.",high,end6 contact sheet
Singapore,30,LMYIbU57uwM,roots_curb_edge,"Under twigs and roots, beside a green fence, against the concrete curb.",high,end6 contact sheet
Singapore,31,8lhGsJdjrMQ,stair_edge_gap,In between the metal stair edge and concrete side wall.,high,end6 contact sheet
Singapore,32,Cxb1MvGZ12o,pipe_gap,"Behind a white drainpipe, in between the pipe and wall.",high,full1 plus end6 contact sheets
Singapore,33,li0nCJERVQw,lamp_post_base,"Beside a black lamp post base, in soil and leaves.",high,end6 contact sheet
Singapore,34,jT5t7cmFYUE,brick_concrete_corner,"In between brick and concrete, inside a corner crack beside the wall.",high,full1 plus end6 contact sheets
Singapore,35,DtxAM6fQ3jQ,concrete_block_crack,"In between concrete blocks, inside a narrow crack beside leaves.",high,end6 contact sheet
Singapore,36,jOxQTShB3uA,stone_planter_edge,"Under leaves, beside a white concrete or stone planter edge.",high,end6 contact sheet
Singapore,37,PVfwhe4dAkw,planter_soil,"Inside a white planter, on soil below a shrub.",high,end6 contact sheet
Singapore,38,TKX9s4gnbTw,brick_wall_gap,"In between red paving bricks and the wall, inside the corner gap.",high,end6 contact sheet
Singapore,39,ItYuVF1UP_I,slab_block_gap,"In between a loose concrete block and a long concrete slab, on grass.",high,full1 plus end6 contact sheets
Singapore,40,8tvZt5LCuAw,concrete_block_gap,"In between rough concrete blocks, beside a brick curb or ledge.",high,full1 plus end6 contact sheets
Singapore,41,SfK51g-6IWI,pipe_gap,"Behind a white drainpipe, beside a pillar, on the floor.",high,end6 contact sheet
Singapore,42,Q_vp5KtOenk,lamp_post_base_plants,"Under strap leaves, beside a lamp post base, above the concrete footing.",high,full1 plus end6 contact sheets
Singapore,43,S8kG06nVMUw,curb_drain_gap,"In between the concrete curb and metal drain cover, beside grass.",high,end6 contact sheet
Singapore,44,TFO3rh4-SNI,lamp_post_base,"Beside a lamp post base, on soil under leaves.",high,end6 contact sheet
Singapore,45,YKv5xKHNuGg,walkway_planter_crack,"In the crack beside a pebble-wash walkway, on soil at the planter edge.",high,end6 contact sheet
Singapore,46,_FhdF9idORc,hedge_drain_edge,"Beside a drain grate, under leaves, at the hedge border.",high,end6 contact sheet
Singapore,47,x6-S8zD7JjU,path_edge_corner,"In between the stone path edge and soil corner, beside grass.",high,full1 plus end10 plus end6 contact sheets
Singapore,48,_W9yNmf51MM,tree_root_gap,"In between tree roots and a stone border, under grass.",high,end6 contact sheet
Singapore,49,59yaFjAkenU,drain_cover_gap,"In between a square drain cover frame and a metal flap, on soil under small plants.",high,end6 contact sheet
Singapore,50,V4umLWrpR6o,pipe_corner_gap,"Behind a white drainpipe, in between the pipe and wall corner.",medium,full1 plus end6 contact sheets
Singapore,51,gHF4jr5evcg,roots_walkway_edge,"Under roots and vines, beside a blue pebble-wash walkway edge.",high,end6 contact sheet
Singapore,52,2EP8jD2OSpc,hedge_wall_edge,"Beside a hedge, on the concrete edge of a low planter wall.",medium,end6 contact sheet
Singapore,53,buM7VTC_dMc,drain_paving_seam,"In the seam beside a linear drain grate, between the concrete drain edge and paving slab.",high,end6 contact sheet
Singapore,54,_RQDqAikyLk,fence_base_plants,"Under strap leaves, beside a green fence or railing base, on pebble-wash concrete.",high,end6 contact sheet
Singapore,55,0oh8kasxHjU,brick_border_soil,"Under the red brick planter border, on soil below the edge.",high,end6 contact sheet
Singapore,56,nJ-iGtHKUAg,bench_side_gap,"Behind a green metal bench side panel, beside plants and stone paving.",high,full1 plus end6 contact sheets
Singapore,57,i0DNRLb7QQQ,tree_planter_crack,"In between the red brick planter wall and the tree base, inside the crack.",high,full1 plus end6 contact sheets
Singapore,58,70Svmr4Cl_o,hedge_planter_edge,"Beside the hedge, on top of the low concrete planter wall edge.",medium,full1 plus end6 contact sheets
Singapore,59,qsHZENDy3W4,planter_wall_opening,"Inside a rectangular opening in the top of the low concrete planter wall, under the hedge.",high,full1 plus end10 plus end6 contact sheets
Singapore,60,-uKx_Je2Y-k,utility_box_base,"Beside a yellow utility box base, in grass at the bottom corner.",high,full1 plus end6 contact sheets
Singapore,61,Ge9J0Hk_bw4,bench_underside,"Under a blue bench, below the seat panel.",high,end6 contact sheet
Singapore,63,Tz5SpqYf7tI,concrete_overhang_gap,"Under a rough concrete overhang, in between the slab and the ground.",high,end6 contact sheet
Singapore,64,hl_eLa3judA,pebble_planter_edge,"Beside a pebble-wash planter edge, under strap leaves.",high,end6 contact sheet
Singapore,66,JxRydjhEERY,bench_slat_gap,"In between the wooden bench slats and the concrete planter edge, beside grass.",high,full1 plus end6 contact sheets
Singapore,67,f4_hWZz9TWE,utility_cover_lip,"Under the lip of a yellow utility cover, beside grass.",high,end6 contact sheet
Singapore,68,AYohbCkHxJ4,brick_grass_edge,"Beside the red brick border, at the grass edge.",high,end6 contact sheet
Singapore,69,eIHs32K2SCA,bench_side_gap,"Behind a green metal bench side panel, beside plants and stone paving.",high,full1 plus end6 contact sheets
Singapore,70,vMJFTF2k-6I,wall_vine_crack,"Under small vines, beside a wall, inside a ledge crack.",high,end6 contact sheet
Singapore,71,qwt0EqdPwzs,brick_pebble_border,"In between the brick edging and pebble-wash walkway, beside grass.",medium,full1 plus end10 plus end6 contact sheets
Singapore,72,s8br74UBLOM,brick_border_soil,"Under the red brick wall edge, on soil beside grass.",high,end6 contact sheet
Singapore,74,nRO2JPJ7FZM,grass_path_edge,"In the grass, beside a pebble-wash path edge.",medium,end10 plus end6 contact sheets
Singapore,166,IOxpWv717IE,groundcover_wall_base,"Under groundcover, beside a low concrete wall, around a small round utility cap.",medium,end6 contact sheet
Singapore,190,MOTTHoluzwc,slat_floor_gap,"In between beige metal slats, on the wooden plank floor.",high,end6 contact sheet
Singapore,192,Srm1juOKFFM,exercise_machine_underside,"Under a green outdoor exercise machine, below the padded roller or frame.",high,end6 contact sheet
Singapore,194,hJpGNDNgtfE,kerb_leaf_litter,"On soil beside a low concrete kerb, under dry leaves.",high,end6 contact sheet
Singapore,200,yz4NoJOoSyU,notice_board_frame_gap,Inside the side gap of a notice board frame.,medium,end6 contact sheet
Singapore,206,NXb9U3b1kOg,ledge_leaf_litter,"Under leaves, beside a low concrete ledge, on the wall edge.",high,end6 contact sheet
Singapore,210,bX8qNRmgx8E,railing_base_seam,"In between a green metal railing base and the concrete edge, on paving.",high,end6 contact sheet
Singapore,211,Ia6aMmXqKtE,pipe_corner_gap,"Behind a white drainpipe, in between the pipe and wall corner.",high,end6 contact sheet
Singapore,219,2KhxXoDdSEU,planter_tile_root_edge,"Under roots, beside square paving tiles, at the planter edge.",high,end6 contact sheet
Singapore,228,IXrBNxvfn7g,groundcover_wall_base,"Under groundcover, beside a low concrete wall, around a small round utility cap.",medium,end6 contact sheet
Singapore,234,FpxUStgXMY0,kerb_leaf_litter,"Under dry leaves, beside a low concrete curb, at the planter edge.",high,end6 contact sheet
