record_id,campaign,coin_number,short_id,spot_type,spot_description,confidence,confidence_score,review_basis,primary_position,secondary_position,primary_object,secondary_object,tertiary_object,environment_type,surface_type,concealment_type,search_priority,search_instruction,search_text
sg60_012,SG60,12,_9McgQ4GLr4,kerb_grass_edge,"Under grass, beside a low concrete kerb at the walkway edge.",high,1.0,end6 contact sheet,under,beside,kerb,grass,concrete,walkway_edge,concrete+grass,underside,5,"Check underneath the kerb first, then inspect the nearest edge and floor seam.","SG60 silver coin. coin 12. spot type kerb grass edge. positions under beside. objects kerb grass concrete. environment walkway edge. concealment underside. Under grass, beside a low concrete kerb at the walkway edge."
sg60_013,SG60,13,8_4IYcVjDTs,planter_wall_groundcover,"Under groundcover, on top of a rough concrete planter wall edge.",high,1.0,end6 contact sheet,under,on_top,planter,wall,hedge,landscape_edge,concrete,underside,5,"Check underneath the planter first, then inspect the nearest edge and floor seam.","SG60 silver coin. coin 13. spot type planter wall groundcover. positions under on_top. objects planter wall hedge. environment landscape edge. concealment underside. Under groundcover, on top of a rough concrete planter wall edge."
sg60_014,SG60,14,SGiEvMBxD-I,signboard_base_leaf_litter,"Behind the low metal signboard base strip, under dry leaves and straw on grass.",high,1.0,end6 contact sheet,behind,under,signboard,leaves,grass,structure_edge,leaf_litter+metal,underside,5,"Check underneath the signboard first, then inspect the nearest edge and floor seam.","SG60 silver coin. coin 14. spot type signboard base leaf litter. positions behind under. objects signboard leaves grass. environment structure edge. concealment underside. Behind the low metal signboard base strip, under dry leaves and straw on grass."
sg60_015,SG60,15,v0k_LNcQsWw,playground_slide_lip,"Under the lip of a yellow playground slide outlet, above the rubber floor.",high,1.0,full12 plus end6 contact sheets,under,above,playground,,,playground,mixed,underside,5,"Check underneath the playground first, then inspect the nearest edge and floor seam.","SG60 silver coin. coin 15. spot type playground slide lip. positions under above. objects playground. environment playground. concealment underside. Under the lip of a yellow playground slide outlet, above the rubber floor."
sg60_016,SG60,16,dsv2GywkjpM,concrete_crack,"In a concrete crack on the rough walkway, under small debris.",high,1.0,end6 contact sheet,on,under,concrete,paver,,walkway_edge,concrete+tile,seam_gap,5,Check the seam or narrow gap on the concrete before scanning open ground.,"SG60 silver coin. coin 16. spot type concrete crack. positions on under. objects concrete paver. environment walkway edge. concealment seam gap. In a concrete crack on the rough walkway, under small debris."
sg60_017,SG60,17,5VN8BjCGcxw,rock_drain_gap,"In between large rocks and pebbles, beside roots in the drain gap.",high,1.0,end6 contact sheet,in_between,beside,rock,drain,tree,utility_edge,rock,seam_gap,5,Check the seam or narrow gap in between the rock before scanning open ground.,"SG60 silver coin. coin 17. spot type rock drain gap. positions in_between beside. objects rock drain tree. environment utility edge. concealment seam gap. In between large rocks and pebbles, beside roots in the drain gap."
sg60_018,SG60,18,_6NwXgJEYCQ,wall_ledge_vines,"On top of a white wall ledge, under branches and vines above the brick wall.",high,1.0,end6 contact sheet,on_top,on,wall,concrete,brick,structure_edge,concrete+brick,edge_hide,4,Start on top of the wall and inspect the nearest edge before checking open ground.,"SG60 silver coin. coin 18. spot type wall ledge vines. positions on_top on. objects wall concrete brick. environment structure edge. concealment edge hide. On top of a white wall ledge, under branches and vines above the brick wall."
sg60_019,SG60,19,ksq_JNmpaaU,walkway_planting_crack,"In the crack between the concrete walkway and planting bed, beside grass.",high,1.0,end6 contact sheet,in_between,beside,paver,concrete,planter,landscape_edge,tile+concrete,seam_gap,5,Check the seam or narrow gap in between the paver before scanning open ground.,"SG60 silver coin. coin 19. spot type walkway planting crack. positions in_between beside. objects paver concrete planter. environment landscape edge. concealment seam gap. In the crack between the concrete walkway and planting bed, beside grass."
sg60_020,SG60,20,sfyQLhZ2r34,paver_gap,"In between mossy granite pavers, on soil and grass.",high,1.0,end6 contact sheet,in_between,on,paver,soil,grass,walkway_edge,tile+soil,seam_gap,5,Check the seam or narrow gap in between the paver before scanning open ground.,"SG60 silver coin. coin 20. spot type paver gap. positions in_between on. objects paver soil grass. environment walkway edge. concealment seam gap. In between mossy granite pavers, on soil and grass."
sg60_021,SG60,21,2X74dMP7a9k,curb_drain_leaf_litter,"Under dry leaves, inside the curbside drain gap beside the path.",high,1.0,end6 contact sheet,under,inside,kerb,drain,leaves,utility_edge,concrete+leaf_litter,seam_gap,5,Check the seam or narrow gap under the kerb before scanning open ground.,"SG60 silver coin. coin 21. spot type curb drain leaf litter. positions under inside. objects kerb drain leaves. environment utility edge. concealment seam gap. Under dry leaves, inside the curbside drain gap beside the path."
sg60_022,SG60,22,84cjZyPcCd8,brick_curb_gap,"In between the red brick border blocks and the concrete curb, beside grass.",high,1.0,end6 contact sheet,in_between,beside,brick,kerb,concrete,mixed_edge,brick+concrete,seam_gap,5,Check the seam or narrow gap in between the brick before scanning open ground.,"SG60 silver coin. coin 22. spot type brick curb gap. positions in_between beside. objects brick kerb concrete. environment mixed edge. concealment seam gap. In between the red brick border blocks and the concrete curb, beside grass."
sg60_023,SG60,23,YZ6V4d774q4,pipe_wall_corner_gap,"In the corner gap between white pipes and the wall, at floor level.",high,1.0,end6 contact sheet,in_corner,in_between,pipe,wall,,utility_edge,metal,seam_gap,5,Check the seam or narrow gap in the corner of the pipe before scanning open ground.,"SG60 silver coin. coin 23. spot type pipe wall corner gap. positions in_corner in_between. objects pipe wall. environment utility edge. concealment seam gap. In the corner gap between white pipes and the wall, at floor level."
sg60_024,SG60,24,5gP7ThHOVPw,playground_slide_lip,"Under the lip of a red playground slide outlet, above the blue support and rubber floor.",high,1.0,full12 plus end6 contact sheets,under,above,playground,,,playground,mixed,underside,5,"Check underneath the playground first, then inspect the nearest edge and floor seam.","SG60 silver coin. coin 24. spot type playground slide lip. positions under above. objects playground. environment playground. concealment underside. Under the lip of a red playground slide outlet, above the blue support and rubber floor."
sg60_025,SG60,25,TWSu6he3XfM,panel_edge_gap,"Behind the edge of a black glossy wall panel, inside the narrow vertical gap.",medium,0.7,end12_24 plus end6 contact sheets,behind,inside,panel,wall,,structure_edge,metal,seam_gap,4,Check the seam or narrow gap behind the panel before scanning open ground.,"SG60 silver coin. coin 25. spot type panel edge gap. positions behind inside. objects panel wall. environment structure edge. concealment seam gap. Behind the edge of a black glossy wall panel, inside the narrow vertical gap."
sg60_026,SG60,26,hKT5xdvHNkU,drain_kerb_crack,"In the crack beside the drain grate and concrete kerb, under low groundcover.",high,1.0,end6 contact sheet,beside,under,drain,kerb,concrete,utility_edge,concrete+metal,seam_gap,5,Check the seam or narrow gap beside the drain before scanning open ground.,"SG60 silver coin. coin 26. spot type drain kerb crack. positions beside under. objects drain kerb concrete. environment utility edge. concealment seam gap. In the crack beside the drain grate and concrete kerb, under low groundcover."
sg60_027,SG60,27,rZBvJHQ80VY,planter_edge_under_plants,"On soil under plants, behind the low concrete planter edge.",high,1.0,end6 contact sheet,under,on,planter,soil,concrete,landscape_edge,soil+concrete,underside,5,"Check underneath the planter first, then inspect the nearest edge and floor seam.","SG60 silver coin. coin 27. spot type planter edge under plants. positions under on. objects planter soil concrete. environment landscape edge. concealment underside. On soil under plants, behind the low concrete planter edge."
sg60_028,SG60,28,9HKjYglJrVE,block_grass_gap,"In between concrete blocks, under dry leaves on grass and soil.",high,1.0,end6 contact sheet,in_between,under,grass,concrete,leaves,mixed_edge,grass+concrete,seam_gap,5,Check the seam or narrow gap in between the grass before scanning open ground.,"SG60 silver coin. coin 28. spot type block grass gap. positions in_between under. objects grass concrete leaves. environment mixed edge. concealment seam gap. In between concrete blocks, under dry leaves on grass and soil."
sg60_029,SG60,29,zXYI0NbT_GE,drain_grate_curb_gap,"In between the concrete curb and metal drain grate, under dry leaves.",high,1.0,end6 contact sheet,in_between,under,drain,kerb,concrete,utility_edge,metal+concrete,seam_gap,5,Check the seam or narrow gap in between the drain before scanning open ground.,"SG60 silver coin. coin 29. spot type drain grate curb gap. positions in_between under. objects drain kerb concrete. environment utility edge. concealment seam gap. In between the concrete curb and metal drain grate, under dry leaves."
sg60_030,SG60,30,VEmn9_oVoJ4,bollard_opening,"Inside the round concrete bollard opening, behind the metal bracket and above the black rubber ring.",high,1.0,end6 contact sheet,inside,behind,concrete,,,mixed_edge,concrete+metal,hole_opening,5,Start inside the concrete and inspect the nearest edge before checking open ground.,"SG60 silver coin. coin 30. spot type bollard opening. positions inside behind. objects concrete. environment mixed edge. concealment hole opening. Inside the round concrete bollard opening, behind the metal bracket and above the black rubber ring."
sg60_031,SG60,31,Skk3ipOhCB0,drain_channel_fence_side,"Inside the concrete drain channel beside the chain-link fence, under branches.",high,1.0,end6 contact sheet,inside,beside,drain,fence,concrete,utility_edge,concrete,inside_object,5,Check inside the drain opening or recess before sweeping nearby grass or soil.,"SG60 silver coin. coin 31. spot type drain channel fence side. positions inside beside. objects drain fence concrete. environment utility edge. concealment inside object. Inside the concrete drain channel beside the chain-link fence, under branches."
sg60_032,SG60,32,iCQ3IUtwnNQ,railing_planter_gap,"Under the white railing, on top of the pebble-wash planter wall, among leaf litter and branches.",high,1.0,end6 contact sheet,under,on_top,railing,planter,wall,landscape_edge,metal+leaf_litter,seam_gap,5,Check the seam or narrow gap under the railing before scanning open ground.,"SG60 silver coin. coin 32. spot type railing planter gap. positions under on_top. objects railing planter wall. environment landscape edge. concealment seam gap. Under the white railing, on top of the pebble-wash planter wall, among leaf litter and branches."
sg60_033,SG60,33,FHcluSmFLE8,wall_leaf_litter_corner,"In the corner gap beside a concrete wall, under dry leaves.",high,1.0,end6 contact sheet,in_corner,beside,wall,leaves,concrete,structure_edge,leaf_litter+concrete,seam_gap,5,Check the seam or narrow gap in the corner of the wall before scanning open ground.,"SG60 silver coin. coin 33. spot type wall leaf litter corner. positions in_corner beside. objects wall leaves concrete. environment structure edge. concealment seam gap. In the corner gap beside a concrete wall, under dry leaves."
sg60_034,SG60,34,Se81VqANxCQ,chair_support_opening,"Under the blue plastic chair, inside the black rectangular support opening.",high,1.0,end6 contact sheet,under,inside,,,,mixed_edge,mixed,hole_opening,5,Start under the structure and inspect the nearest edge before checking open ground.,"SG60 silver coin. coin 34. spot type chair support opening. positions under inside. objects mixed. environment mixed edge. concealment hole opening. Under the blue plastic chair, inside the black rectangular support opening."
sg60_035,SG60,35,3E_SjB-hOQ0,utility_cover_frame_gap,"In the crack between the blue metal frame of a utility cover and the concrete slab, beside grass.",high,1.0,full12 plus end6 contact sheets,in_between,beside,utility_cover,concrete,grass,utility_edge,metal+concrete,seam_gap,5,Check the seam or narrow gap in between the utility cover before scanning open ground.,"SG60 silver coin. coin 35. spot type utility cover frame gap. positions in_between beside. objects utility_cover concrete grass. environment utility edge. concealment seam gap. In the crack between the blue metal frame of a utility cover and the concrete slab, beside grass."
sg60_038,SG60,38,HJRsAnnvpvk,granite_opening,"Inside the square opening under a granite bench or table, among grass.",high,1.0,end6 contact sheet,inside,under,bench,grass,,bench_zone,grass,hole_opening,5,Start inside the bench and inspect the nearest edge before checking open ground.,"SG60 silver coin. coin 38. spot type granite opening. positions inside under. objects bench grass. environment bench zone. concealment hole opening. Inside the square opening under a granite bench or table, among grass."
sg60_039,SG60,39,po1Sz0el_U0,wall_opening,"Inside a rectangular wall opening at floor level, below the white wall.",high,1.0,end6 contact sheet,inside,below,wall,,,structure_edge,mixed,hole_opening,5,Start inside the wall and inspect the nearest edge before checking open ground.,"SG60 silver coin. coin 39. spot type wall opening. positions inside below. objects wall. environment structure edge. concealment hole opening. Inside a rectangular wall opening at floor level, below the white wall."
sg60_040,SG60,40,dyjqdnWw4uk,tree_root_crevice,"In the tree root crevice, on soil and grass at the trunk base.",high,1.0,end6 contact sheet,on,,tree,soil,grass,landscape_edge,soil+grass,seam_gap,5,Check the seam or narrow gap on the tree before scanning open ground.,"SG60 silver coin. coin 40. spot type tree root crevice. positions on. objects tree soil grass. environment landscape edge. concealment seam gap. In the tree root crevice, on soil and grass at the trunk base."
sg60_041,SG60,41,hmG3HcfDQTA,planter_gap_behind_railing,"In the narrow planter gap behind metal railing bars, on soil among small plants.",high,1.0,end12_24 plus end6 contact sheets,behind,on,planter,railing,soil,landscape_edge,metal+soil,seam_gap,5,Check the seam or narrow gap behind the planter before scanning open ground.,"SG60 silver coin. coin 41. spot type planter gap behind railing. positions behind on. objects planter railing soil. environment landscape edge. concealment seam gap. In the narrow planter gap behind metal railing bars, on soil among small plants."
sg60_042,SG60,42,RqFOilogaNg,metal_fin_gap,"In between large brown metal fins or panels, beside the planter.",high,1.0,end6 contact sheet,in_between,beside,panel,planter,,landscape_edge,metal,seam_gap,5,Check the seam or narrow gap in between the panel before scanning open ground.,"SG60 silver coin. coin 42. spot type metal fin gap. positions in_between beside. objects panel planter. environment landscape edge. concealment seam gap. In between large brown metal fins or panels, beside the planter."
sg60_043,SG60,43,fzuemJtC4SI,low_wall_slot,"Inside the long narrow gap of a low concrete wall, above the planter plants and dry leaves.",high,1.0,full24 plus end6 contact sheets,inside,above,wall,concrete,planter,landscape_edge,concrete+leaf_litter,seam_gap,5,Check the seam or narrow gap inside the wall before scanning open ground.,"SG60 silver coin. coin 43. spot type low wall slot. positions inside above. objects wall concrete planter. environment landscape edge. concealment seam gap. Inside the long narrow gap of a low concrete wall, above the planter plants and dry leaves."
sg60_044,SG60,44,AzzGZW7tOPk,deck_planter_opening,"In the planter opening between wooden deck planks and concrete curb, under dry leaves.",high,1.0,end6 contact sheet,in_between,under,planter,wood,concrete,landscape_edge,wood+concrete,hole_opening,5,Start in between the planter and inspect the nearest edge before checking open ground.,"SG60 silver coin. coin 44. spot type deck planter opening. positions in_between under. objects planter wood concrete. environment landscape edge. concealment hole opening. In the planter opening between wooden deck planks and concrete curb, under dry leaves."
sg60_045,SG60,45,gY77SqNGRGM,railing_base_root_gap,"In between a black metal support and concrete curb, among grass and roots.",high,1.0,end12_24 plus end6 contact sheets,in_between,,railing,tree,concrete,landscape_edge,metal+concrete,seam_gap,5,Check the seam or narrow gap in between the railing before scanning open ground.,"SG60 silver coin. coin 45. spot type railing base root gap. positions in_between. objects railing tree concrete. environment landscape edge. concealment seam gap. In between a black metal support and concrete curb, among grass and roots."
sg60_046,SG60,46,T1DVVJGYw_o,drain_block_hole,"Inside the hole under a concrete drain block, in mud beside plants.",high,1.0,end6 contact sheet,inside,under,drain,concrete,,utility_edge,concrete,hole_opening,5,Start inside the drain and inspect the nearest edge before checking open ground.,"SG60 silver coin. coin 46. spot type drain block hole. positions inside under. objects drain concrete. environment utility edge. concealment hole opening. Inside the hole under a concrete drain block, in mud beside plants."
sg60_047,SG60,47,apwXPwf_tX4,metal_channel_leaf_litter,"Inside the narrow metal channel beside the concrete ledge, under dry leaves.",high,1.0,end6 contact sheet,inside,beside,leaves,concrete,,mixed_edge,metal+leaf_litter,inside_object,5,Check inside the leaves opening or recess before sweeping nearby grass or soil.,"SG60 silver coin. coin 47. spot type metal channel leaf litter. positions inside beside. objects leaves concrete. environment mixed edge. concealment inside object. Inside the narrow metal channel beside the concrete ledge, under dry leaves."
sg60_048,SG60,48,kPEKADx6oNA,kerb_corner_leaf_litter,"In the corner gap beside a concrete kerb, under wet leaves.",high,1.0,end6 contact sheet,in_corner,beside,kerb,leaves,concrete,mixed_edge,concrete+leaf_litter,seam_gap,5,Check the seam or narrow gap in the corner of the kerb before scanning open ground.,"SG60 silver coin. coin 48. spot type kerb corner leaf litter. positions in_corner beside. objects kerb leaves concrete. environment mixed edge. concealment seam gap. In the corner gap beside a concrete kerb, under wet leaves."
sg60_049,SG60,49,MBjsYGRHUAM,tile_seam,"In the seam between stone tiles, beside soil and a small plant.",high,1.0,end6 contact sheet,in_between,beside,tile,rock,soil,walkway_edge,tile+rock,seam_gap,5,Check the seam or narrow gap in between the tile before scanning open ground.,"SG60 silver coin. coin 49. spot type tile seam. positions in_between beside. objects tile rock soil. environment walkway edge. concealment seam gap. In the seam between stone tiles, beside soil and a small plant."
sg60_050,SG60,50,bxE6QVIzRUw,utility_cover_corner_crack,"In the crack beside the utility cover frame and concrete surround, under dry leaves.",high,1.0,end6 contact sheet,beside,under,utility_cover,concrete,leaves,utility_edge,concrete+leaf_litter,seam_gap,5,Check the seam or narrow gap beside the utility cover before scanning open ground.,"SG60 silver coin. coin 50. spot type utility cover corner crack. positions beside under. objects utility_cover concrete leaves. environment utility edge. concealment seam gap. In the crack beside the utility cover frame and concrete surround, under dry leaves."
sg60_051,SG60,51,_3WDmj8bNLA,tall_grass_soil,"Under tall grass, on soil beside the path edge.",high,1.0,end6 contact sheet,under,on,grass,soil,paver,walkway_edge,grass+soil,underside,5,"Check underneath the grass first, then inspect the nearest edge and floor seam.","SG60 silver coin. coin 51. spot type tall grass soil. positions under on. objects grass soil paver. environment walkway edge. concealment underside. Under tall grass, on soil beside the path edge."
sg60_052,SG60,52,UHzKHHWs0no,wall_corner_leaf_litter,"In the corner gap between concrete walls, under wet leaves beside a rock.",high,1.0,end6 contact sheet,in_corner,in_between,wall,leaves,concrete,structure_edge,leaf_litter+concrete,seam_gap,5,Check the seam or narrow gap in the corner of the wall before scanning open ground.,"SG60 silver coin. coin 52. spot type wall corner leaf litter. positions in_corner in_between. objects wall leaves concrete. environment structure edge. concealment seam gap. In the corner gap between concrete walls, under wet leaves beside a rock."
sg60_053,SG60,53,QZMtRDlLVnc,pole_cutout_planter_gap,"In the planter cutout around a black metal pole, under leaves beside the tiled walkway.",high,1.0,full24 plus end6 contact sheets,under,beside,lamp_post,planter,leaves,landscape_edge,metal+leaf_litter,seam_gap,5,Check the seam or narrow gap under the lamp post before scanning open ground.,"SG60 silver coin. coin 53. spot type pole cutout planter gap. positions under beside. objects lamp_post planter leaves. environment landscape edge. concealment seam gap. In the planter cutout around a black metal pole, under leaves beside the tiled walkway."
sg60_054,SG60,54,InhMby7RpAQ,playground_tunnel_lip,"Under the lip of a yellow playground tunnel or slide panel, beside the metal seam.",high,1.0,end6 contact sheet,under,beside,playground,panel,,playground,metal,seam_gap,5,Check the seam or narrow gap under the playground before scanning open ground.,"SG60 silver coin. coin 54. spot type playground tunnel lip. positions under beside. objects playground panel. environment playground. concealment seam gap. Under the lip of a yellow playground tunnel or slide panel, beside the metal seam."
sg60_055,SG60,55,gruSMZ4P9dc,curb_grass_edge,"In between the concrete walkway edge and grass, on soil beside the path.",high,1.0,end6 contact sheet,in_between,on,kerb,grass,concrete,walkway_edge,concrete+grass,natural_cover,3,"Check under leaves, roots, or groundcover beside the kerb before searching open pavement.","SG60 silver coin. coin 55. spot type curb grass edge. positions in_between on. objects kerb grass concrete. environment walkway edge. concealment natural cover. In between the concrete walkway edge and grass, on soil beside the path."
sg60_056,SG60,56,RvknUrA0wHQ,wall_base_planter,"Beside a curved white wall base, on soil under small plants.",high,1.0,end6 contact sheet,beside,on,wall,planter,soil,landscape_edge,soil,edge_hide,4,Start beside the wall and inspect the nearest edge before checking open ground.,"SG60 silver coin. coin 56. spot type wall base planter. positions beside on. objects wall planter soil. environment landscape edge. concealment edge hide. Beside a curved white wall base, on soil under small plants."
sg60_057,SG60,57,ifRDU9Jqm2E,utility_base_opening,"Inside the black utility base opening, on grass beside the brick walkway.",high,1.0,end6 contact sheet,inside,on,utility_cover,grass,brick,utility_edge,grass+brick,hole_opening,5,Start inside the utility cover and inspect the nearest edge before checking open ground.,"SG60 silver coin. coin 57. spot type utility base opening. positions inside on. objects utility_cover grass brick. environment utility edge. concealment hole opening. Inside the black utility base opening, on grass beside the brick walkway."
sg60_058,SG60,58,mUgBlwJKCd8,rocky_edge_gap,"In between rocks and gravel, beside the concrete curb edge.",high,1.0,end6 contact sheet,in_between,beside,rock,concrete,kerb,mixed_edge,rock+concrete,seam_gap,5,Check the seam or narrow gap in between the rock before scanning open ground.,"SG60 silver coin. coin 58. spot type rocky edge gap. positions in_between beside. objects rock concrete kerb. environment mixed edge. concealment seam gap. In between rocks and gravel, beside the concrete curb edge."
sg60_059,SG60,59,L5JftrVLh6c,metal_fin_gap,"Inside the narrow gap between grey metal fins, on dry leaves and debris.",high,1.0,end12_24 plus end6 contact sheets,inside,in_between,leaves,,,mixed_edge,metal+leaf_litter,seam_gap,5,Check the seam or narrow gap inside the leaves before scanning open ground.,"SG60 silver coin. coin 59. spot type metal fin gap. positions inside in_between. objects leaves. environment mixed edge. concealment seam gap. Inside the narrow gap between grey metal fins, on dry leaves and debris."
sg60_060,SG60,60,5si_Lux3Dn8,curb_crack,"In the crack between concrete kerb slabs, on soil and grass.",high,1.0,end6 contact sheet,in_between,on,kerb,concrete,soil,mixed_edge,concrete+soil,seam_gap,5,Check the seam or narrow gap in between the kerb before scanning open ground.,"SG60 silver coin. coin 60. spot type curb crack. positions in_between on. objects kerb concrete soil. environment mixed edge. concealment seam gap. In the crack between concrete kerb slabs, on soil and grass."
sg60_061,SG60,61,zyl-Q91ZpiM,bench_underseat_grass,"Under a wooden bench, in the grass strip below the seat edge.",medium,0.7,end6 contact sheet,under,below,bench,grass,wood,bench_zone,grass+wood,underside,4,"Check underneath the bench first, then inspect the nearest edge and floor seam.","SG60 silver coin. coin 61. spot type bench underseat grass. positions under below. objects bench grass wood. environment bench zone. concealment underside. Under a wooden bench, in the grass strip below the seat edge."
sg60_062,SG60,62,HTFtt3mQKxg,curb_seam_leaf_litter,"In between the mossy concrete curb and stone edge, under wet leaves.",high,1.0,end6 contact sheet,in_between,under,kerb,leaves,concrete,mixed_edge,concrete+leaf_litter,seam_gap,5,Check the seam or narrow gap in between the kerb before scanning open ground.,"SG60 silver coin. coin 62. spot type curb seam leaf litter. positions in_between under. objects kerb leaves concrete. environment mixed edge. concealment seam gap. In between the mossy concrete curb and stone edge, under wet leaves."
sg60_063,SG60,63,gS5cImefyyQ,leaf_litter_soil,"Under dry leaves, on soil among small rocks.",high,1.0,end6 contact sheet,under,on,leaves,soil,rock,mixed_edge,leaf_litter+soil,underside,5,"Check underneath the leaves first, then inspect the nearest edge and floor seam.","SG60 silver coin. coin 63. spot type leaf litter soil. positions under on. objects leaves soil rock. environment mixed edge. concealment underside. Under dry leaves, on soil among small rocks."
sg60_064,SG60,64,Q9vR1ZYLvRU,paver_hole,Inside the round hole of a square paver or stepping stone.,high,1.0,end6 contact sheet,inside,,paver,concrete,rock,walkway_edge,tile+rock,hole_opening,5,Start inside the paver and inspect the nearest edge before checking open ground.,SG60 silver coin. coin 64. spot type paver hole. positions inside. objects paver concrete rock. environment walkway edge. concealment hole opening. Inside the round hole of a square paver or stepping stone.
sg60_065,SG60,65,mRVj09QozOM,paver_crack,"In the crack between concrete pavers, on grass and soil.",high,1.0,end12_24 plus end6 contact sheets,in_between,on,paver,concrete,grass,walkway_edge,tile+concrete,seam_gap,5,Check the seam or narrow gap in between the paver before scanning open ground.,"SG60 silver coin. coin 65. spot type paver crack. positions in_between on. objects paver concrete grass. environment walkway edge. concealment seam gap. In the crack between concrete pavers, on grass and soil."
